id,section,title,aspect,filename,intended_placement_on_site,prompt_brief,verdict_jp,verdict_colleague,reason_if_regen,notes,preview_path
1,§1 Brand Heroes and Openers,"Home to air, morning",16:9,hero-home-to-air.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","Editorial wide, 24mm, 07:45 domestic morning.",,,,,_incoming-imagery/01-brand-heroes/hero-home-to-air.jpg
2,§1 Brand Heroes and Openers,Quiet threshold,16:9,hero-quiet-threshold.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","35mm, f/2.",,,,,_incoming-imagery/01-brand-heroes/hero-quiet-threshold.jpg
3,§1 Brand Heroes and Openers,"Aviation, arranged",21:9,hero-aviation-arranged.jpg,Home page hero — full bleed at top of /,24mm architectural still.,,,,,_incoming-imagery/01-brand-heroes/hero-aviation-arranged.jpg
4,§1 Brand Heroes and Openers,"Lake Lugano, first light",16:9,hero-lake-lugano-dawn.jpg,Three Cities — Lugano portrait on Home | About — origin / Parco Ciani register | Seasonal bank — New Year first light,85mm.,,,,,_incoming-imagery/01-brand-heroes/hero-lake-lugano-dawn.jpg
5,§1 Brand Heroes and Openers,"Chalet morning, Gstaad",4:5,hero-gstaad-chalet.jpg,Seasonal bank — winter hearth (footer texture band),35mm interior.,,,,,_incoming-imagery/01-brand-heroes/hero-gstaad-chalet.jpg
6,§1 Brand Heroes and Openers,"Monaco balcony, 17:30",16:9,hero-monaco-balcony.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",24mm.,,,,,_incoming-imagery/01-brand-heroes/hero-monaco-balcony.jpg
7,§1 Brand Heroes and Openers,"Mykonos, white and teal",4:5,hero-mykonos-threshold.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/01-brand-heroes/hero-mykonos-threshold.jpg
8,§1 Brand Heroes and Openers,"Cabin window, soft cloud",4:5,hero-cabin-window-cloud.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/01-brand-heroes/hero-cabin-window-cloud.jpg
9,§1 Brand Heroes and Openers,Mustique veranda,16:9,hero-mustique-hammock.jpg,Seasonal bank — midsummer terrace (ServiceDetail editorial supporting image),35mm.,,,,,_incoming-imagery/01-brand-heroes/hero-mustique-hammock.jpg
10,§1 Brand Heroes and Openers,"Navigation, abstracted",1:1,hero-navigation-detail.jpg,Contact page hero / form section accent,100mm macro.,,,,,_incoming-imagery/01-brand-heroes/hero-navigation-detail.jpg
11,§2 London — Residence and Corridor,Knightsbridge hall,4:5,london-knightsbridge-hall.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/02-london/london-knightsbridge-hall.jpg
12,§2 London — Residence and Corridor,"Mews doorway, rain",16:9,london-mews-threshold.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/02-london/london-mews-threshold.jpg
13,§2 London — Residence and Corridor,"Study desk, slim laptop",1:1,london-study-desk.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","50mm, f/2.",,,,,_incoming-imagery/02-london/london-study-desk.jpg
14,§2 London — Residence and Corridor,Dressing room before departure,4:5,london-dressing-room.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/02-london/london-dressing-room.jpg
15,§2 London — Residence and Corridor,"Breakfast tray, quiet kitchen",3:4,london-breakfast-tray.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","85mm, f/2.",,,,,_incoming-imagery/02-london/london-breakfast-tray.jpg
16,§2 London — Residence and Corridor,Holdall by the door,1:1,london-hallway-holdall.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/02-london/london-hallway-holdall.jpg
17,§2 London — Residence and Corridor,"Car at the kerb, Westbourne",16:9,london-car-kerb.jpg,Destination management service — card + detail page,24mm.,,,,,_incoming-imagery/02-london/london-car-kerb.jpg
18,§2 London — Residence and Corridor,Rain on sash glass,1:1,london-rain-glass.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm macro.,,,,,_incoming-imagery/02-london/london-rain-glass.jpg
19,§2 London — Residence and Corridor,"Farnborough, first light",21:9,london-farnborough-apron.jpg,Three Cities — London portrait on Home,"28mm, 06:40.",,,,,_incoming-imagery/02-london/london-farnborough-apron.jpg
20,§2 London — Residence and Corridor,"Quiet gatehouse, Biggin Hill",16:9,london-biggin-gate.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/02-london/london-biggin-gate.jpg
21,§2 London — Residence and Corridor,"Hallway, candlelight",4:5,london-member-hallway-candle.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/02-london/london-member-hallway-candle.jpg
22,§2 London — Residence and Corridor,"Evening return, threshold",16:9,london-evening-return.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/02-london/london-evening-return.jpg
23,§2 London — Residence and Corridor,"Garden window, cloud-morning",4:5,london-garden-window.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/02-london/london-garden-window.jpg
24,§2 London — Residence and Corridor,"Stairwell, afternoon",3:4,london-stairwell.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",24mm.,,,,,_incoming-imagery/02-london/london-stairwell.jpg
25,§3 Lugano and Ticino — Lakeside Quiet,"Villa terrace, 06:45",16:9,lugano-villa-terrace-dawn.jpg,Travel/events scene — card,24mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-villa-terrace-dawn.jpg
26,§3 Lugano and Ticino — Lakeside Quiet,"Palazzo doorway, Lugano",3:4,lugano-palazzo-doorway.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-palazzo-doorway.jpg
27,§3 Lugano and Ticino — Lakeside Quiet,"Lake jetty, morning mist",21:9,lugano-lake-jetty.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-lake-jetty.jpg
28,§3 Lugano and Ticino — Lakeside Quiet,"Kitchen, porcelain and stone",4:5,lugano-kitchen-porcelain.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-kitchen-porcelain.jpg
29,§3 Lugano and Ticino — Lakeside Quiet,Gandria alley,4:5,lugano-gandria-alley.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-gandria-alley.jpg
30,§3 Lugano and Ticino — Lakeside Quiet,Mendrisiotto vineyard,16:9,lugano-mendrisio-vineyard.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-mendrisio-vineyard.jpg
31,§3 Lugano and Ticino — Lakeside Quiet,"Library interior, Bellinzona",4:5,lugano-interior-library.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",24mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-interior-library.jpg
32,§3 Lugano and Ticino — Lakeside Quiet,"Wooden launch, stillness",16:9,lugano-boat-still.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-boat-still.jpg
33,§3 Lugano and Ticino — Lakeside Quiet,"Crossing shoulder, wool cuff",1:1,lugano-alpine-shoulder.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","85mm, f/2.",,,,,_incoming-imagery/03-lugano-ticino/lugano-alpine-shoulder.jpg
34,§3 Lugano and Ticino — Lakeside Quiet,"Morriello campanile, 06:30",3:4,lugano-church-bell.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",135mm.,,,,,_incoming-imagery/03-lugano-ticino/lugano-church-bell.jpg
35,"§4 Gstaad, St Moritz and Alpine Quiet","Chalet bedroom, first light",4:5,gstaad-chalet-dawn.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-chalet-dawn.jpg
36,"§4 Gstaad, St Moritz and Alpine Quiet","Fireplace, evening",16:9,gstaad-fireplace.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","50mm, f/2.",,,,,_incoming-imagery/04-gstaad-alpine/gstaad-fireplace.jpg
